time,open,high,low,close,tick_volume,spread
2017-10-29,1272.11,1283.99,1265.37,1270.03,1309062,0
2017-11-05,1269.81,1288.44,1265.93,1275.6,1428842,0
2017-11-12,1274.87,1296.87,1269.8,1294.11,1536035,0
2017-11-19,1293.17,1294.72,1274.46,1288.27,1624959,0
2017-11-26,1288.27,1299.16,1270.22,1279.88,1912879,0
2017-12-03,1274.03,1277.05,1243.6,1248.04,1534202,0
2017-12-10,1247.84,1261.76,1236.37,1255.33,1443395,0
2017-12-17,1254.23,1276.17,1252.62,1275.28,1582723,0
2017-12-24,1278.67,1307.48,1276.92,1302.54,990934,0
2017-12-31,1307.33,1325.94,1305.7,1319.9,1373852,0
2018-01-07,1320.63,1339.27,1307.96,1338.17,1981336,0
2018-01-14,1336.46,1344.64,1324.14,1331.43,2047252,0
2018-01-21,1333.79,1365.98,1328.27,1350.0,2253514,0
2018-01-28,1349.88,1352.39,1327.39,1332.57,2448033,0
2018-02-04,1331.62,1346.08,1306.99,1315.64,3325337,0
2018-02-11,1314.82,1361.69,1314.08,1347.43,2315355,0
2018-02-18,1347.41,1351.34,1320.86,1328.78,1861362,0
2018-02-25,1327.63,1341.0,1302.73,1322.12,2163056,0
2018-03-04,1323.73,1340.42,1312.83,1323.36,2195885,0
2018-03-11,1323.31,1330.01,1309.59,1313.47,1876082,0
2018-03-18,1313.32,1350.2,1307.11,1347.51,2180594,0
2018-03-25,1346.35,1356.84,1321.16,1325.04,1681614,0
2018-04-01,1325.95,1348.22,1319.5,1332.69,2235498,0
2018-04-08,1333.13,1365.2,1326.81,1345.07,2212235,0
2018-04-15,1346.13,1355.67,1334.92,1335.44,2011345,0
2018-04-22,1334.36,1335.43,1315.08,1322.91,1835134,0
2018-04-29,1322.35,1325.25,1301.58,1314.6,1824857,0
2018-05-06,1313.45,1325.9,1304.26,1317.93,1888053,0
2018-05-13,1318.27,1322.29,1284.93,1292.48,1885073,0
2018-05-20,1290.52,1307.75,1282.0,1300.52,2027084,0
2018-05-27,1292.76,1306.57,1289.32,1293.27,2291712,0
2018-06-03,1292.41,1303.09,1289.69,1298.6,1830429,0
2018-06-10,1294.18,1309.28,1275.33,1280.19,1764068,0
2018-06-17,1278.16,1283.99,1261.26,1269.21,1698906,0
2018-06-24,1270.97,1272.56,1245.84,1252.74,1728076,0
2018-07-01,1251.58,1261.07,1237.82,1254.56,969366,0
2018-07-08,1255.22,1265.85,1236.3,1241.06,1040615,0
