time,open,high,low,close,tick_volume,spread
2023-08-31 00:00:00,1943.83,1945.54,1943.4,1945.39,3754,7
2023-08-31 04:00:00,1945.36,1947.76,1944.69,1945.77,7583,7
2023-08-31 08:00:00,1945.77,1946.29,1943.21,1944.41,10849,7
2023-08-31 12:00:00,1944.42,1947.85,1943.11,1945.81,16001,7
2023-08-31 16:00:00,1945.85,1946.39,1938.95,1941.72,27409,7
2023-08-31 20:00:00,1941.74,1942.08,1939.02,1939.84,8316,7
2023-09-01 00:00:00,1940.07,1940.31,1938.68,1939.32,2878,7
2023-09-01 04:00:00,1939.3,1944.02,1938.16,1940.02,8569,7
2023-09-01 08:00:00,1940.02,1943.76,1938.41,1943.01,9819,7
2023-09-01 12:00:00,1943.0,1952.91,1942.94,1949.97,17287,7
2023-09-01 16:00:00,1950.03,1951.41,1934.42,1938.13,37984,7
2023-09-01 20:00:00,1938.15,1941.56,1937.29,1939.51,6969,7
2023-09-04 00:00:00,1940.32,1941.7,1939.34,1940.93,3037,7
2023-09-04 04:00:00,1940.91,1946.11,1940.36,1945.08,8860,7
2023-09-04 08:00:00,1945.09,1946.37,1942.66,1943.9,9521,7
2023-09-04 12:00:00,1943.9,1944.25,1939.85,1939.95,8459,7
2023-09-04 16:00:00,1939.96,1940.24,1936.79,1938.33,10289,7
2023-09-04 20:00:00,1938.33,1938.88,1937.97,1938.35,671,7
2023-09-05 00:00:00,1938.74,1938.84,1937.0,1937.84,2485,7
2023-09-05 04:00:00,1937.87,1938.86,1934.87,1938.56,7969,7
2023-09-05 08:00:00,1938.56,1938.98,1932.13,1933.5,13876,7
2023-09-05 12:00:00,1933.5,1934.66,1927.96,1933.72,18090,7
2023-09-05 16:00:00,1933.73,1934.19,1925.33,1927.29,30478,7
2023-09-05 20:00:00,1927.33,1927.51,1925.3,1925.89,7667,7
2023-09-06 00:00:00,1926.38,1926.92,1924.44,1924.75,2919,7
2023-09-06 04:00:00,1924.75,1927.36,1924.16,1927.2,7971,7
2023-09-06 08:00:00,1927.21,1928.5,1922.48,1924.73,13772,7
2023-09-06 12:00:00,1924.73,1927.66,1922.79,1923.26,13280,7
2023-09-06 16:00:00,1923.21,1929.2,1915.27,1919.97,32422,7
2023-09-06 20:00:00,1920.02,1920.65,1915.95,1916.0,7589,7
2023-09-07 00:00:00,1917.33,1918.21,1916.27,1916.86,2778,7
2023-09-07 04:00:00,1916.84,1920.69,1916.63,1918.96,8384,7
2023-09-07 08:00:00,1918.93,1919.81,1917.02,1918.87,11510,7
2023-09-07 12:00:00,1918.89,1923.59,1916.18,1923.2,16021,7
2023-09-07 16:00:00,1923.21,1923.49,1917.24,1918.04,24718,7
2023-09-07 20:00:00,1918.03,1920.74,1917.42,1919.57,6511,7
2023-09-08 00:00:00,1919.36,1924.58,1919.3,1923.66,4102,7
2023-09-08 04:00:00,1923.61,1927.31,1922.83,1924.52,9569,7
2023-09-08 08:00:00,1924.52,1927.28,1923.34,1924.68,10671,7
2023-09-08 12:00:00,1924.69,1926.04,1920.34,1920.45,11823,7
2023-09-08 16:00:00,1920.47,1929.71,1917.32,1919.69,25124,7
2023-09-08 20:00:00,1919.71,1920.72,1918.08,1919.22,6434,7
2023-09-11 00:00:00,1919.7,1920.2,1916.69,1920.02,5051,7
2023-09-11 04:00:00,1920.08,1926.72,1919.08,1926.48,12389,7
2023-09-11 08:00:00,1926.49,1930.68,1925.4,1927.67,15550,7
2023-09-11 12:00:00,1927.67,1928.05,1924.23,1927.28,13770,7
2023-09-11 16:00:00,1927.21,1930.13,1921.4,1923.43,22953,7
2023-09-11 20:00:00,1923.44,1924.38,1921.43,1922.47,7288,7
2023-09-12 00:00:00,1922.83,1923.37,1921.16,1921.55,3349,7
2023-09-12 04:00:00,1921.55,1924.45,1920.34,1922.25,10095,7
2023-09-12 08:00:00,1922.25,1922.37,1918.58,1919.7,12470,7
2023-09-12 12:00:00,1919.7,1920.09,1908.51,1909.78,16747,7
2023-09-12 16:00:00,1909.73,1915.06,1907.56,1912.39,23554,7
2023-09-12 20:00:00,1912.4,1913.62,1911.77,1913.35,8131,7
2023-09-13 00:00:00,1913.4,1913.81,1912.4,1912.56,3373,7
2023-09-13 04:00:00,1912.56,1913.82,1908.19,1911.65,10583,7
2023-09-13 08:00:00,1911.65,1912.6,1908.18,1912.14,13034,7
