trigger,max_adds,size_mult,stop_policy,t_vs_base,years_better,sharpe,dd,cagr,calmar,total,n_trades,win_pct,worst_r,mean_legs
0.35,1,1.0,preallocated,-3.2434676199923795,1/9,0.8766885695834706,-7.502561972586774,4.860635680288361,0.6478634495854068,49.935510215432274,369,44.71544715447154,-0.86,1.3604336043360434
0.35,2,0.5,risk_constant,1.1378217723818653,7/9,1.005324261439102,-12.692779759327077,9.687607026209232,0.763237620907308,120.14045038144769,384,42.96875,-1.05,1.3697916666666667
0.35,2,0.5,original,0.6010259000046192,4/9,0.9417498401853065,-13.175604018638488,9.271284607885821,0.703670556186302,113.11108193280437,366,44.26229508196721,-1.48,1.407103825136612
0.35,2,0.5,preallocated,-3.367126029663845,1/9,0.9386309691535559,-6.921678822563759,4.680581913996562,0.6762206155446686,47.75261365594516,366,44.26229508196721,-0.72,1.407103825136612
0.35,2,1.0,risk_constant,1.1962684894057782,5/9,0.9738778046271478,-15.773974637667143,10.290846987225466,0.652394036608354,130.68894727150501,395,42.278481012658226,-1.06,1.3924050632911393
0.35,2,1.0,original,0.9450832206351809,4/9,0.9016293278875543,-14.829825612605418,10.056095554220112,0.6780993800542324,126.53211759438388,369,44.71544715447154,-1.86,1.3929539295392954
0.35,2,1.0,preallocated,-3.3301001316986296,1/9,0.8751865622178538,-4.890537415682516,3.301718303402712,0.67512382030144,31.94474971670964,373,44.23592493297587,-0.62,1.3941018766756033
0.35,3,0.5,risk_constant,1.1378217723818653,7/9,1.005324261439102,-12.692779759327077,9.687607026209232,0.763237620907308,120.14045038144769,384,42.96875,-1.05,1.3697916666666667
0.35,3,0.5,original,0.6010259000046192,4/9,0.9417498401853065,-13.175604018638488,9.271284607885821,0.703670556186302,113.11108193280437,366,44.26229508196721,-1.48,1.407103825136612
0.35,3,0.5,preallocated,-3.4021416376357863,1/9,0.9261037837476527,-5.500573305877099,3.694809081120365,0.671713451609242,36.29141509480629,367,44.4141689373297,-0.59,1.4032697547683923
0.35,3,1.0,risk_constant,1.1962684894057782,5/9,0.9738778046271478,-15.773974637667143,10.290846987225466,0.652394036608354,130.68894727150501,395,42.278481012658226,-1.06,1.3924050632911393
0.35,3,1.0,original,0.9450832206351809,4/9,0.9016293278875543,-14.829825612605418,10.056095554220112,0.6780993800542324,126.53211759438388,369,44.71544715447154,-1.86,1.3929539295392954
0.35,3,1.0,preallocated,-3.332848003147446,1/9,0.8744102509068998,-3.9089525626056165,2.5214485319180246,0.6450445462140083,23.677771039065966,373,44.23592493297587,-0.47,1.3941018766756033
0.5,1,0.5,risk_constant,0.9138459591204442,6/9,1.0157959674960764,-12.761405445774576,9.406926590060017,0.7371387603059615,115.37923418304739,375,43.2,-1.05,1.2453333333333334
0.5,1,0.5,original,1.1876080898964696,4/9,1.0211670858055324,-12.974725405054954,9.558696797188704,0.7367166933232078,117.94231593870714,364,44.230769230769226,-1.3,1.239010989010989
0.5,1,0.5,preallocated,-2.792137008518873,1/9,1.0249747660747277,-8.661041150702541,6.411677094932955,0.7402894159454342,69.95086085433509,364,44.230769230769226,-0.86,1.239010989010989
0.5,1,1.0,risk_constant,1.5330573730877255,6/9,1.042582022192926,-13.291413101618122,10.330063802764645,0.7771983102012715,131.38989880211687,379,43.27176781002638,-1.06,1.2401055408970976
0.5,1,1.0,original,1.3317695397934475,3/9,1.0078395472539763,-13.940935158056988,10.228982121527853,0.7337371564787848,129.58700087811317,366,44.26229508196721,-1.51,1.2404371584699454
0.5,1,1.0,preallocated,-2.8922332463741136,1/9,1.003436289633472,-7.346749712158851,5.115469621602209,0.6962901721200765,53.07366555817359,366,44.26229508196721,-0.75,1.2404371584699454
0.5,2,0.5,risk_constant,0.9138459591204442,6/9,1.0157959674960764,-12.761405445774576,9.406926590060017,0.7371387603059615,115.37923418304739,375,43.2,-1.05,1.2453333333333334
0.5,2,0.5,original,1.1876080898964696,4/9,1.0211670858055324,-12.974725405054954,9.558696797188704,0.7367166933232078,117.94231593870714,364,44.230769230769226,-1.3,1.239010989010989
0.5,2,0.5,preallocated,-3.127729892600811,1/9,1.0184080210868243,-6.727592125630933,4.80635808731924,0.7144247150489205,49.27449340862555,364,44.230769230769226,-0.65,1.239010989010989
0.5,2,1.0,risk_constant,1.5330573730877255,6/9,1.042582022192926,-13.291413101618122,10.330063802764645,0.7771983102012715,131.38989880211687,379,43.27176781002638,-1.06,1.2401055408970976
0.5,2,1.0,original,1.3317695397934475,3/9,1.0078395472539763,-13.940935158056988,10.228982121527853,0.7337371564787848,129.58700087811317,366,44.26229508196721,-1.51,1.2404371584699454
0.5,2,1.0,preallocated,-3.218421902341275,1/9,0.9666338965647623,-4.717625345023125,3.2851491832633917,0.6963565232514852,31.764253457979773,370,43.78378378378379,-0.5,1.2405405405405405
0.5,3,0.5,risk_constant,0.9138459591204442,6/9,1.0157959674960764,-12.761405445774576,9.406926590060017,0.7371387603059615,115.37923418304739,375,43.2,-1.05,1.2453333333333334
0.5,3,0.5,original,1.1876080898964696,4/9,1.0211670858055324,-12.974725405054954,9.558696797188704,0.7367166933232078,117.94231593870714,364,44.230769230769226,-1.3,1.239010989010989
0.5,3,0.5,preallocated,-3.2283191521618773,1/9,1.0081079690684571,-5.445686208363298,3.8049481172983013,0.6987086607110766,37.531745832508136,365,44.38356164383562,-0.52,1.2356164383561643
0.5,3,1.0,risk_constant,1.5330573730877255,6/9,1.042582022192926,-13.291413101618122,10.330063802764645,0.7771983102012715,131.38989880211687,379,43.27176781002638,-1.06,1.2401055408970976
