mode,order,stop,rr,lo,n_tr,sr_tr,net_tr,n_te,sr_te,net_te,hit_te
bos,3,2.0,1.0,True,1965,-1.027843075246283,-47.910669529471676,905,0.4929999985181882,16.48836027912499,54.3646408839779
bos,3,2.0,1.0,False,3330,-1.3613517413616965,-68.09568179566394,1462,-0.2546661048765109,-14.901538418634246,51.2311901504788
bos,3,2.0,1.5,True,1613,-0.8828699294180704,-44.76229501998442,737,0.8444169478082861,34.36339196142575,48.16824966078697
bos,3,2.0,1.5,False,2742,-1.1411080440400039,-64.04371604738996,1191,-0.006830472329222145,-4.58503788316213,43.99664147774979
bos,3,2.0,2.0,True,1456,-0.7323947395294708,-40.191800975641726,665,1.119229086854292,50.55252824113401,45.86466165413533
bos,3,2.0,2.0,False,2474,-0.7899480068372602,-52.05717313345738,1070,0.1137878159589063,1.8940952714963544,41.02803738317757
bos,3,2.0,3.0,True,1332,-0.3664169682800355,-24.566550210932903,595,1.2338948136665133,58.17079157435393,44.36974789915966
bos,3,2.0,3.0,False,2265,-0.5857583481041705,-44.2212188942365,984,0.6996679220903576,42.83183139510507,40.447154471544714
bos,5,1.0,1.0,True,2776,-2.420502191383457,-61.866213750982816,1368,-0.925950561631108,-19.48741729616637,52.85087719298246
bos,5,1.0,1.0,False,5164,-3.456076830020873,-85.67089327605808,2304,-1.6675015773482773,-44.020064995854604,50.607638888888886
bos,5,1.0,1.5,True,2319,-1.6486268197420388,-52.16743326471554,1138,-0.04450017297192461,-2.1178616116412883,44.024604569420035
bos,5,1.0,1.5,False,4310,-2.4496935676594185,-78.3040917672966,1923,-1.0550097974438497,-34.284103088136334,41.60166406656266
bos,5,1.0,2.0,True,2026,-1.450180984593574,-49.89221190750618,984,0.3159735245053591,8.05678591840298,37.80487804878049
bos,5,1.0,2.0,False,3782,-2.1119398634730913,-75.38727423744628,1665,-0.3697528502017804,-16.14506914752414,35.67567567567568
bos,5,1.0,3.0,True,1667,-0.8050285816159037,-34.72249873082268,794,0.7478047433405203,24.589531716262684,31.360201511335013
bos,5,1.0,3.0,False,3146,-1.2619464449310676,-60.365312637317025,1371,-0.03217951792531626,-4.554604126154757,28.592268417213713
bos,5,1.5,1.0,True,2043,-1.2755284740529849,-48.03316042232492,987,0.3799916218565693,10.095382217965891,54.30597771023303
bos,5,1.5,1.0,False,3778,-1.955705621325568,-75.35257829825598,1661,-0.7426938858103549,-28.59893974925984,50.752558699578564
bos,5,1.5,1.5,True,1672,-0.902329289011796,-39.43811582864386,788,0.6345806812197501,20.311073495800542,45.0507614213198
bos,5,1.5,1.5,False,3099,-1.4862024057546799,-68.31109581056224,1339,-0.03424768183643986,-4.599405372751335,42.27035100821509
bos,5,1.5,2.0,True,1451,-0.6563287612553835,-32.25280945733509,682,0.8558486801658549,30.81316597756026,40.615835777126094
bos,5,1.5,2.0,False,2709,-1.274504369010488,-64.46488877896897,1170,0.01864625885666317,-2.6481675885830214,37.17948717948718
bos,5,1.5,3.0,True,1259,-0.2955626831800371,-17.661419771718684,567,1.183565514298018,48.822094531560566,37.56613756613756
bos,5,1.5,3.0,False,2327,-0.9246096076145137,-54.19801940454534,1002,0.3832043928837644,17.047608563530403,33.93213572854291
bos,5,2.0,1.0,True,1628,-1.129538657041643,-48.26268715444589,771,0.25268952251387383,6.913701986021948,53.047989623865114
bos,5,2.0,1.0,False,2943,-1.5807580520785531,-71.76376433953324,1299,-0.5971544457957056,-27.169737392720336,50.03849114703618
