book,k,sr,dd,h1,h2,worst
GoldEternal+XAGUSD+US500+GER30+BTCUSD,5,0.6557608315923981,-12.878087853779352,0.6536458836690962,0.6575754968596084,0.6536458836690962
GoldEternal+XAGUSD+GER30,3,0.6542256363114785,-20.793699257720878,0.03961425581550375,1.130138272990821,0.03961425581550375
GoldEternal+XAGUSD+US30+GER30+BTCUSD,5,0.6533817721900063,-14.347048271663809,0.5864765203647881,0.7101401547090315,0.5864765203647881
GoldEternal+US500+US30+GER30,4,0.6483046931901814,-11.150821253031463,0.4636472679283176,0.8050539502518224,0.4636472679283176
GoldEternal+XAGUSD+US500+US30,4,0.6440118328691671,-12.74164630084461,0.5255085195579416,0.7431107982094073,0.5255085195579416
GoldEternal+XAGUSD+US500+GER30,4,0.636501370157102,-14.536274434711839,0.2807763480394672,0.9189668247330438,0.2807763480394672
GoldEternal+XAGUSD+US30+GER30,4,0.6252164123844212,-17.27259767614422,0.15147622525939422,0.9941700310346925,0.15147622525939422
GoldEternal+XAGUSD+US100+US30+GER30,5,0.6144696840461407,-13.651652344994448,0.3204704646098339,0.8509659869261442,0.3204704646098339
US100+BRENT+BTCUSD,3,0.6092114824630039,-11.753994976257587,1.0161799558844715,0.18750178135533885,0.18750178135533885
GoldEternal+XAGUSD+US100+US500+US30,5,0.6053784937397257,-10.771291323585997,0.5922151665711609,0.6165508293166918,0.5922151665711609
GoldEternal+XAGUSD+US100+US500+GER30,5,0.6027944284208471,-11.936483485532579,0.4069073221704477,0.7617742606689424,0.4069073221704477
GoldEternal+US100+US500+US30+GER30,5,0.5936838584665399,-10.186000121668181,0.5313696509577231,0.6473248353753062,0.5313696509577231
US500+BRENT+BTCUSD,3,0.5764285971952596,-12.436094213549765,0.981954124175067,0.15507603730000497,0.15507603730000497
GoldEternal+XAGUSD+US500+US30+GER30,5,0.5751348380514012,-13.212956029075151,0.3184125332611032,0.7859536505658093,0.3184125332611032
US30+BRENT+BTCUSD,3,0.5728940517580952,-10.981788965245599,0.9142126895855662,0.20956723580784534,0.20956723580784534
US100+US30+BRENT+BTCUSD,4,0.5457254540205392,-10.145301423072839,0.9211936997320332,0.16174876549401604,0.16174876549401604
XAGUSD+US100+BRENT+BTCUSD,4,0.5436860960038798,-9.516910041256954,0.8145883737429861,0.2860908371480273,0.2860908371480273
US100+US500+BRENT+BTCUSD,4,0.5254644337137708,-12.906989781026557,0.9437576016761287,0.11478104328655563,0.11478104328655563
XAGUSD+BRENT+BTCUSD,3,0.5251366700352254,-10.7771568531148,0.716475787869919,0.33816057838068064,0.33816057838068064
US100+GER30+BRENT+BTCUSD,4,0.5208696893459582,-10.384431949975504,0.7377526763814498,0.31029033618287466,0.31029033618287466
GER30+BRENT+BTCUSD,3,0.5205288365740431,-11.614249635717478,0.6556360108783384,0.38542488986486134,0.38542488986486134
XAGUSD+US500+BRENT+BTCUSD,4,0.5200619738179661,-10.206299100148076,0.7967994326858037,0.25552167904972783,0.25552167904972783
XAGUSD+US30+BRENT+BTCUSD,4,0.5109045299274229,-9.086100962771916,0.724442540592781,0.30451108323343773,0.30451108323343773
