open_date,close_date,symbol,action,lots,sl,tp,open_price,close_price,pips,profit,duration,change,change_pct,dur_s,sl_dist,tp_dist,move
2025-12-04 03:45:00,2025-12-04 03:45:00,XAUUSD,Buy,0.1,4213.32,4225.72,4215.8,4216.33,53.0,5.3,13s,0.09%,0.09,13.0,2.480000000000473,9.920000000000073,0.5299999999997453
2025-12-04 04:03:00,2025-12-04 04:03:00,XAUUSD,Sell,0.1,4204.62,4192.22,4202.18,4202.24,-6.0,-0.6,2s,-0.01%,-0.01,2.0,2.4399999999996,9.960000000000036,-0.05999999999949068
2025-12-04 04:34:00,2025-12-04 04:34:00,XAUUSD,Sell,0.1,4204.62,4192.22,4202.15,4202.45,-30.0,-3.0,4s,-0.05%,-0.05,4.0,2.4700000000002547,9.929999999999382,-0.3000000000001819
2025-12-04 05:02:00,2025-12-04 05:02:00,XAUUSD,Sell,0.1,4201.41,4189.01,4198.91,4188.89,1002.0,100.2,33s,1.74%,1.74,33.0,2.5,9.899999999999636,10.019999999999527
2025-12-04 07:38:00,2025-12-04 07:38:00,XAUUSD,Sell,0.1,4189.6,4177.2,4187.2,4184.97,223.0,22.3,25s,0.38%,0.38,25.0,2.4000000000005457,10.0,2.2299999999995634
2025-12-04 10:06:00,2025-12-04 10:06:00,XAUUSD,Buy,0.1,4192.48,4204.88,4194.88,4195.15,27.0,2.7,12s,0.05%,0.05,12.0,2.4000000000005457,10.0,0.26999999999952706
2025-12-04 11:43:00,2025-12-04 11:44:00,XAUUSD,Buy,0.1,4194.06,4206.46,4196.46,4197.45,99.0,9.9,51s,0.17%,0.17,51.0,2.399999999999636,10.0,0.9899999999997817
2025-12-04 13:09:00,2025-12-04 13:09:00,XAUUSD,Buy,0.1,4200.24,4212.64,4202.7,4205.79,309.0,30.9,35s,0.52%,0.52,35.0,2.4600000000000364,9.94000000000051,3.0900000000001455
2025-12-04 16:13:00,2025-12-04 16:13:00,XAUUSD,Buy,0.1,4204.06,4216.46,4206.49,4206.09,-40.0,-4.0,2s,-0.07%,-0.07,2.0,2.4299999999993815,9.970000000000255,-0.3999999999996362
2025-12-04 18:09:00,2025-12-04 18:09:00,XAUUSD,Buy,0.1,4210.78,4223.18,4213.29,4213.89,60.0,6.0,29s,0.10%,0.1,29.0,2.5100000000002183,9.890000000000327,0.6000000000003638
2025-12-05 03:07:00,2025-12-05 03:08:00,XAUUSD,Sell,0.1,4202.05,4189.65,4199.59,4199.92,-33.0,-3.3,23s,-0.06%,-0.06,23.0,2.4600000000000364,9.94000000000051,-0.32999999999992724
2025-12-05 05:54:00,2025-12-05 05:54:00,XAUUSD,Buy,0.1,4208.21,4220.61,4210.65,4210.35,-30.0,-3.0,22s,-0.05%,-0.05,22.0,2.4399999999996,9.960000000000036,-0.2999999999992724
