open_date,close_date,symbol,action,lots,sl,tp,open_price,close_price,pips,profit,duration,change,change_pct,dur_s,sl_dist,tp_dist,move,sgn,bar_lo,bar_hi,win_lo,win_hi,bar_range,win_range,avail,mom_1bar,entry_vs_prev
2026-01-19 13:41:00,2026-01-19 13:41:00,XAUUSD,Sell,0.1,4663.67,4651.27,4661.25,4660.39,86.0,8.6,14s,0.11%,0.11,14.0,2.4200000000000728,9.979999999999563,0.8599999999996726,-1.0,4666.165,4673.5650000000005,4664.185,4673.5650000000005,7.400000000000546,9.38000000000011,-2.9350000000004,-1.5299999999997453,10.375
2026-01-19 15:33:00,2026-01-19 15:33:00,XAUUSD,Buy,0.1,4671.35,4683.75,4673.77,4673.59,-18.0,-1.8,2s,-0.02%,-0.02,2.0,2.4200000000000728,9.979999999999563,-0.18000000000029104,1.0,4665.715,4670.975,4665.715,4675.955,5.260000000000218,10.239999999999782,2.1849999999994907,-1.4700000000002547,7.355000000000473
2026-01-19 17:54:00,2026-01-19 17:55:00,XAUUSD,Buy,0.1,4671.41,4683.81,4673.81,4674.73,92.0,9.2,37s,0.12%,0.12,37.0,2.4000000000005457,10.0,0.9199999999991633,1.0,4673.888,4678.665,4673.475,4678.665,4.777000000000044,5.1899999999996,4.854999999999563,5.360000000000582,-2.244999999999891
2026-01-20 05:36:00,2026-01-20 05:37:00,XAUUSD,Buy,0.1,4673.55,4685.95,4675.95,4675.76,-19.0,-1.9,20s,-0.02%,-0.02,20.0,2.399999999999636,10.0,-0.18999999999959982,1.0,4694.115,4706.035,4694.115,4716.395,11.920000000000073,22.280000000000655,40.44500000000062,-3.6900000000005093,-19.784999999999854
2026-01-20 09:13:00,2026-01-20 09:13:00,XAUUSD,Buy,0.1,4714.61,4727.01,4717.03,4717.19,16.0,1.6,8s,0.02%,0.02,8.0,2.4200000000000728,9.980000000000471,0.15999999999985448,1.0,4723.875,4731.445,4720.9980000000005,4733.725,7.569999999999709,12.726999999999862,16.69500000000062,6.479999999999563,-12.175000000000182
2026-01-20 15:20:00,2026-01-20 15:20:00,XAUUSD,Sell,0.1,4724.05,4711.65,4721.64,4721.81,-17.0,-1.7,1s,-0.02%,-0.02,1.0,2.4099999999998545,9.990000000000691,-0.17000000000007276,-1.0,4722.028,4744.375,4722.028,4744.375,22.346999999999753,22.346999999999753,-0.38799999999991996,-3.5299999999997453,22.69499999999971
2026-01-20 18:54:00,2026-01-20 18:55:00,XAUUSD,Buy,0.1,4748.74,4761.14,4751.14,4751.0,-14.0,-1.4,20s,-0.02%,-0.02,20.0,2.4000000000005457,10.0,-0.14000000000032742,1.0,4752.485,4760.098,4752.485,4760.2480000000005,7.613000000000284,7.7630000000008295,9.108000000000175,-3.910000000000764,-6.264999999999418
2026-01-21 05:03:00,2026-01-21 05:03:00,XAUUSD,Buy,0.1,4841.73,4854.13,4844.15,4844.52,37.0,3.7,20s,0.05%,0.05,20.0,2.4200000000000728,9.980000000000471,0.37000000000080036,1.0,4858.6050000000005,4866.865,4858.6050000000005,4873.945,8.259999999999309,15.339999999999236,29.795000000000073,0.569999999999709,-21.645000000000437
2026-01-21 06:19:00,2026-01-21 06:19:00,XAUUSD,Buy,0.1,4847.35,4859.75,4849.76,4850.68,92.0,9.2,16s,0.12%,0.12,16.0,2.4099999999998545,9.989999999999782,0.9200000000000728,1.0,4869.848,4888.075,4858.7480000000005,4888.075,18.22699999999986,29.326999999999316,38.3149999999996,1.5700000000006185,-21.55500000000029
2026-01-21 11:33:00,2026-01-21 11:33:00,XAUUSD,Buy,0.1,4867.16,4879.56,4869.9,4874.21,431.0,43.1,4s,0.54%,0.54,4.0,2.7399999999997817,9.660000000000764,4.3100000000004,1.0,4860.3150000000005,4867.155,4854.975,4867.155,6.839999999999236,12.179999999999382,-2.744999999999891,1.9699999999993452,2.931999999999789
2026-01-21 12:00:00,2026-01-21 12:00:00,XAUUSD,Buy,0.1,4867.16,4879.56,4869.57,4869.3,-27.0,-2.7,1s,-0.03%,-0.03,1.0,2.4099999999998545,9.990000000000691,-0.26999999999952706,1.0,4861.055,4867.325,4855.415,4867.325,6.269999999999527,11.909999999999854,-2.244999999999891,4.710000000000036,2.8649999999997817
2026-01-21 15:32:00,2026-01-21 15:32:00,XAUUSD,Buy,0.1,4869.17,4881.57,4871.57,4871.58,1.0,0.1,2s,0.00%,0.0,2.0,2.399999999999636,10.0,0.010000000000218279,1.0,4828.765,4845.275000000001,4828.765,4854.365,16.51000000000022,25.599999999999454,-17.204999999999927,-29.287000000000262,40.771999999999935
2026-01-21 17:19:00,2026-01-21 17:19:00,XAUUSD,Sell,0.1,4841.76,4829.36,4839.35,4829.35,1000.0,100.0,24s,1.25%,1.25,24.0,2.4099999999998545,9.990000000000691,10.0,-1.0,4814.278,4826.215,4802.325,4826.215,11.936999999999898,23.890000000000327,37.025000000000546,15.039999999999964,-21.125
2026-01-22 03:03:00,2026-01-22 03:03:00,XAUUSD,Sell,0.1,4779.89,4767.49,4777.48,4774.0,348.0,34.8,16s,0.43%,0.43,16.0,2.410000000000764,9.989999999999782,3.4799999999995634,-1.0,4784.055,4791.048,4784.055,4795.675,6.992999999999483,11.61999999999989,-6.575000000000728,-7.260000000000218,11.365000000000691
2026-01-22 07:04:00,2026-01-22 07:04:00,XAUUSD,Buy,0.1,4798.04,4810.44,4800.45,4800.62,17.0,1.7,6s,0.02%,0.02,6.0,2.4099999999998545,9.989999999999782,0.17000000000007276,1.0,4825.575,4834.8150000000005,4825.575,4837.965,9.240000000000691,12.390000000000327,37.51500000000033,2.7399999999997817,-25.954999999999927
2026-01-22 07:50:00,2026-01-22 07:52:00,XAUUSD,Buy,0.1,4807.29,4819.69,4809.71,4815.03,532.0,53.2,1m,0.65%,0.65,60.0,2.4200000000000728,9.979999999999563,5.319999999999709,1.0,4830.545,4835.745,4824.155,4835.745,5.199999999999818,11.590000000000146,26.034999999999854,-3.630000000000109,-23.574999999999818
2026-01-22 09:02:00,2026-01-22 09:02:00,XAUUSD,Buy,0.1,4826.84,4839.24,4829.26,4830.1,84.0,8.4,13s,0.10%,0.1,13.0,2.4200000000000728,9.979999999999563,0.8400000000001455,1.0,4829.415,4837.925,4827.985,4837.925,8.510000000000218,9.94000000000051,8.664999999999964,4.100000000000364,-1.175000000000182
2026-01-22 11:32:00,2026-01-22 11:32:00,XAUUSD,Sell,0.1,4824.72,4812.32,4822.28,4816.81,547.0,54.7,12s,0.66%,0.66,12.0,2.4400000000005093,9.960000000000036,5.469999999999345,-1.0,4824.885,4831.365,4824.885,4836.145,6.479999999999563,11.260000000000218,-2.605000000000473,-1.417000000000371,5.315000000000509
2026-01-22 15:42:00,2026-01-22 15:42:00,XAUUSD,Sell,0.1,4816.37,4803.97,4813.96,4811.26,270.0,27.0,13s,0.33%,0.33,13.0,2.4099999999998545,9.989999999999782,2.699999999999818,-1.0,4853.325,4865.635,4853.325,4873.535,12.3100000000004,20.210000000000036,-39.36499999999978,-14.840000000000146,39.845000000000255
