sharpe,cagr,dd,ntrades,trades_per_yr,winrate,avg_r,profit_factor,avg_hold,pct_time_hit,sl,tp
-6.864199865944385,-32.86004026471188,-96.6671301393299,3937,461.33758421559196,74.82854965709932,-0.10205740411481691,0.5945509586276143,1.4681229362458725,0.0,0.005,0.001
-4.987826502871639,-27.257796532461086,-93.4515381337716,3695,432.98002887391726,71.04194857916103,-0.07645466847090318,0.735981308411227,1.6952638700947227,0.0,0.005,0.0015
-4.020159315987594,-23.920297083286222,-90.4057775691904,3463,405.7942733397498,66.82067571469824,-0.06451053999422236,0.8055700609225483,1.9425353739532198,0.0,0.005,0.002
-2.403079889208893,-17.087339627592847,-81.04339388338371,3062,358.8051010587103,60.35271064663619,-0.03435662965382626,0.9133443163097067,2.459503592423253,0.0,0.005,0.003
-2.245660576637177,-17.24989661190254,-80.47725995197953,2734,320.37006737247356,52.889539136795904,-0.04798829553767024,0.8981366459627405,2.9937820043891734,0.0,0.005,0.004
-2.0599047910009,-17.163741887809014,-80.78030480430077,2511,294.2389316650626,47.112704101951415,-0.05774591796097433,0.8908132530120433,3.437674233373158,0.0,0.005,0.005
-1.0410409971296617,-10.74181186886064,-63.75844558218302,2116,247.95283926852744,39.177693761814744,-0.020557655954625234,0.9662004662004764,4.452741020793951,0.0,0.005,0.0075
-0.21168582148538578,-3.56010792254956,-49.22783353933248,1837,215.25962463907604,34.62166575939031,0.03864997278171503,1.0591174021648715,5.434403919433859,0.0,0.005,0.01
-0.3542892696152097,-4.377151857791494,-45.798688036467595,1482,173.66073147256978,25.573549257759787,0.02294197031039374,1.0308250226654612,7.215249662618084,0.0,0.005,0.015
0.014662090686683336,0.2397460036750676,-33.66007654244796,1212,142.0221366698749,21.61716171617162,0.08085808580858811,1.1031578947368512,9.268151815181518,0.0,0.005,0.02
-4.763935871077636,-27.81136188977117,-93.81227144767409,3688,432.1597690086622,83.51409978308027,-0.05350686912509774,0.6754385964911834,1.7020065075921909,0.0,0.0075,0.001
-3.3136684241902037,-22.905375798661176,-89.26047714182846,3429,401.81015399422523,80.0524934383202,-0.03937007874015613,0.8026315789473752,1.9816272965879265,0.0,0.0075,0.0015
-2.470671936591814,-18.607921083269584,-82.93264278450519,3140,367.9451395572666,76.75159235668791,-0.02781316348195305,0.880365296803654,2.3480891719745225,0.0,0.0075,0.002
-1.6162729026318456,-13.749328163206487,-73.02202792255204,2687,314.8626082771896,70.3014514328247,-0.01577967994046014,0.9468671679197789,3.0818756978042425,0.0,0.0075,0.003
-1.0803678104304837,-10.292781361298186,-61.295145859636435,2368,277.48219441770937,64.86486486486487,-0.005405405405405045,0.9846153846153854,3.765625,0.0,0.0075,0.004
-1.070246549515955,-11.0452662994462,-66.61522310262158,2107,246.89821944177095,59.04129093497864,-0.015978484417027802,0.960988798763989,4.4803037494067395,0.0,0.0075,0.005
-0.579803970145215,-7.389525030969857,-52.85356878405681,1726,202.25264677574592,49.884125144843566,-0.0023174971031266955,0.9953757225433564,5.91135573580533,0.0,0.0075,0.0075
-0.03534587552996547,-1.7074304105603066,-38.95193354075871,1462,171.31713185755535,44.39124487004104,0.035795713634291605,1.0643706437064382,7.336525307797538,0.0,0.0075,0.01
-0.012262799807289448,-1.124418202223787,-29.264691688842305,1156,135.46005774783447,34.68858131487889,0.04065743944636426,1.0622516556291353,9.80795847750865,0.0,0.0075,0.015
-0.0012447680225476886,-0.3912518578683688,-24.22309941405356,919,107.68840230991339,28.618063112078346,0.04932898077620704,1.069105691056912,12.85310119695321,0.0,0.0075,0.02
